
------------------------------Enter Service Main----------------------------
2026-02-21 22:07:15 [INFO] __main__: Running server...
2026-02-21 22:07:27 [INFO] __main__: Shutting down server...

------------------------------Enter Service Main----------------------------
2026-02-21 22:08:18 [INFO] __main__: Running server...
2026-02-21 22:08:24 [INFO] __main__: Shutting down server...

------------------------------Enter Service Main----------------------------
2026-02-21 22:36:44 (65624,132744334426560) [INFO] __main__: Running server...
2026-02-21 22:37:03 (65624,132744318285376) [INFO] __main__: Accepting connection from 127.0.0.1:54022
2026-02-21 22:37:03 (65624,132744318285376) [INFO] __main__: SOCKS version: 5 - nmethods: 1
2026-02-21 22:37:03 (65624,132744318285376) [INFO] __main__: Supported methods: [0]
2026-02-21 22:37:03 (65624,132744309892672) [INFO] __main__: Accepting connection from 127.0.0.1:54038
2026-02-21 22:37:03 (65624,132744309892672) [INFO] __main__: SOCKS version: 5 - nmethods: 1
2026-02-21 22:37:03 (65624,132744318285376) [INFO] __main__: version: 5 - command: 1 - address_type: 3
2026-02-21 22:37:03 (65624,132744309892672) [INFO] __main__: Supported methods: [0]
2026-02-21 22:37:03 (65624,132744309892672) [INFO] __main__: version: 5 - command: 1 - address_type: 3
2026-02-21 22:37:03 (65624,132744309892672) [INFO] __main__: domain_length: 35 - address: 34.160.144.191
2026-02-21 22:37:03 (65624,132744318285376) [INFO] __main__: domain_length: 35 - address: 34.160.144.191
2026-02-21 22:37:03 (65624,132744309892672) [INFO] __main__: Connected to 34.160.144.191 443
2026-02-21 22:37:03 (65624,132744318285376) [INFO] __main__: Connected to 34.160.144.191 443
2026-02-21 22:37:04 (65624,132744318285376) [INFO] __main__: Accepting connection from 127.0.0.1:54046
2026-02-21 22:37:04 (65624,132744318285376) [INFO] __main__: SOCKS version: 5 - nmethods: 1
2026-02-21 22:37:04 (65624,132744318285376) [INFO] __main__: Supported methods: [0]
2026-02-21 22:37:04 (65624,132744318285376) [INFO] __main__: version: 5 - command: 1 - address_type: 3
2026-02-21 22:37:04 (65624,132744318285376) [INFO] __main__: domain_length: 24 - address: 34.107.221.82
2026-02-21 22:37:04 (65624,132744318285376) [INFO] __main__: Connected to 34.107.221.82 80
2026-02-21 22:37:04 (65624,132744301499968) [INFO] __main__: Accepting connection from 127.0.0.1:54054
2026-02-21 22:37:04 (65624,132744301499968) [INFO] __main__: SOCKS version: 5 - nmethods: 1
2026-02-21 22:37:04 (65624,132744301499968) [INFO] __main__: Supported methods: [0]
2026-02-21 22:37:04 (65624,132744301499968) [INFO] __main__: version: 5 - command: 1 - address_type: 3
2026-02-21 22:37:04 (65624,132744301499968) [INFO] __main__: domain_length: 27 - address: 146.75.45.91
2026-02-21 22:37:04 (65624,132744301499968) [INFO] __main__: Connected to 146.75.45.91 443
2026-02-21 22:37:04 (65624,132744084452928) [INFO] __main__: Accepting connection from 127.0.0.1:54070
2026-02-21 22:37:04 (65624,132744084452928) [INFO] __main__: SOCKS version: 5 - nmethods: 1
2026-02-21 22:37:04 (65624,132744084452928) [INFO] __main__: Supported methods: [0]
2026-02-21 22:37:04 (65624,132744084452928) [INFO] __main__: version: 5 - command: 1 - address_type: 3
2026-02-21 22:37:04 (65624,132744084452928) [INFO] __main__: domain_length: 37 - address: 146.75.45.91
2026-02-21 22:37:04 (65624,132744084452928) [INFO] __main__: Connected to 146.75.45.91 443
2026-02-21 22:37:05 (65624,132744076060224) [INFO] __main__: Accepting connection from 127.0.0.1:54078
2026-02-21 22:37:05 (65624,132744076060224) [INFO] __main__: SOCKS version: 5 - nmethods: 1
2026-02-21 22:37:05 (65624,132744076060224) [INFO] __main__: Supported methods: [0]
2026-02-21 22:37:05 (65624,132744076060224) [INFO] __main__: version: 5 - command: 1 - address_type: 3
2026-02-21 22:37:05 (65624,132744076060224) [INFO] __main__: domain_length: 24 - address: 34.49.51.44
2026-02-21 22:37:05 (65624,132744076060224) [INFO] __main__: Connected to 34.49.51.44 443
2026-02-21 22:37:05 (65624,132744067667520) [INFO] __main__: Accepting connection from 127.0.0.1:54090
2026-02-21 22:37:05 (65624,132744067667520) [INFO] __main__: SOCKS version: 5 - nmethods: 1
2026-02-21 22:37:05 (65624,132744067667520) [INFO] __main__: Supported methods: [0]
2026-02-21 22:37:05 (65624,132744067667520) [INFO] __main__: version: 5 - command: 1 - address_type: 3
2026-02-21 22:37:05 (65624,132744067667520) [INFO] __main__: domain_length: 25 - address: 34.107.243.93
2026-02-21 22:37:05 (65624,132744067667520) [INFO] __main__: Connected to 34.107.243.93 443
2026-02-21 22:37:05 (65624,132744059274816) [INFO] __main__: Accepting connection from 127.0.0.1:54100
2026-02-21 22:37:05 (65624,132744059274816) [INFO] __main__: SOCKS version: 5 - nmethods: 1
2026-02-21 22:37:05 (65624,132744059274816) [INFO] __main__: Supported methods: [0]
2026-02-21 22:37:05 (65624,132744059274816) [INFO] __main__: version: 5 - command: 1 - address_type: 3
2026-02-21 22:37:05 (65624,132744059274816) [INFO] __main__: domain_length: 37 - address: 146.75.45.91
2026-02-21 22:37:05 (65624,132744059274816) [INFO] __main__: Connected to 146.75.45.91 443
2026-02-21 22:37:05 (65624,132744050882112) [INFO] __main__: Accepting connection from 127.0.0.1:54110
2026-02-21 22:37:05 (65624,132744050882112) [INFO] __main__: SOCKS version: 5 - nmethods: 1
